screen,off,,1572021112571
screen,on,,1572021141715
screen,off,,1572021149141
screen,on,,1572021398758
screen,off,,1572021671455
screen,off,,1572021800932
screen,on,,1572021832251
screen,off,,1572021879369
screen,on,,1572022053856
screen,off,,1572022088133
screen,off,,1572022102784
screen,on,,1572022821687
screen,off,,1572022948120
screen,off,,1572023393735
screen,on,,1572023584441
screen,off,,1572023682631
screen,off,,1572024535280
screen,on,,1572024600135
screen,off,,1572024661421
screen,on,,1572024868159
screen,off,,1572024901926
screen,on,,1572024911496
screen,off,,1572025012069
screen,on,,1572025026253
screen,off,,1572025174860
screen,on,,1572025287245
screen,off,,1572025390114
screen,on,,1572025401428
screen,off,,1572025488791
screen,off,,1572026176405
screen,on,,1572026260508
screen,off,,1572026351895
screen,off,,1572026447319
screen,on,,1572026671968
screen,off,,1572026676400
screen,off,,1572026709099
screen,on,,1572027189954
screen,off,,1572027234182
screen,off,,1572027677792
screen,off,,1572027772704
screen,on,,1572027840156
screen,on,,1572027851601
screen,off,,1572027859874
screen,off,,1572028253517
screen,on,,1572028747692
screen,off,,1572028764019
screen,off,,1572029552700
screen,on,,1572029610069
screen,off,,1572029622058
screen,on,,1572030106380
screen,off,,1572030181889
screen,off,,1572030242603
screen,off,,1572030265773
screen,off,,1572030279514
screen,on,,1572031969424
screen,off,,1572031998762
screen,on,,1572032042714
screen,off,,1572032078325
screen,off,,1572032140162
screen,off,,1572032994208
screen,on,,1572033287764
screen,off,,1572033344267
screen,on,,1572033405513
screen,off,,1572033459392
screen,off,,1572033484259
screen,on,,1572033575216
screen,off,,1572034100027
screen,on,,1572034886088
screen,off,,1572034890647
screen,on,,1572035230543
screen,off,,1572035292222
screen,off,,1572035455178
screen,off,,1572035837559
screen,off,,1572036245967
screen,on,,1572036486250
screen,off,,1572036490192
screen,on,,1572036574387
screen,off,,1572036720042
screen,off,,1572036784871
screen,on,,1572037034701
screen,off,,1572037188772
screen,on,,1572037263130
screen,off,,1572037279260
screen,on,,1572037379370
screen,off,,1572037468088
screen,on,,1572037738124
screen,off,,1572037747798
screen,on,,1572037782210
screen,off,,1572037869339
screen,off,,1572037894105
screen,on,,1572038037715
screen,off,,1572038059868
screen,off,,1572038068078
screen,on,,1572038083244
screen,off,,1572038171784
screen,on,,1572038720485
screen,off,,1572038721664
screen,on,,1572038769353
screen,off,,1572038777207
screen,off,,1572038890449
screen,on,,1572038905109
screen,off,,1572038972929
screen,on,,1572039192715
screen,off,,1572039200525
screen,off,,1572039652419
screen,on,,1572039727803
screen,on,,1572039793595
screen,off,,1572039801574
screen,on,,1572039961125
screen,on,,1572039966496
screen,off,,1572039974209
screen,on,,1572040680388
screen,on,,1572040753518
screen,off,,1572040761944
screen,on,,1572040825064
screen,on,,1572040974257
screen,off,,1572040981953
screen,on,,1572041031841
screen,on,,1572041045114
screen,off,,1572041052943
screen,off,,1572041120133
screen,on,,1572041159789
screen,off,,1572041213681
screen,on,,1572041277317
